word,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
at ,3,109.77777777777777,169.66666666666666,at,8,8,2,3.9189715543016406,0.8668270539337606,10.134989594181194,0.019861510729477408
"Styles, ",8,219.44444444444446,392.3333333333333,styles,9,9,6,15.15718412599471,0.8668270539337606,5.439171189527885,2.614078185286011e-07
his ,4,51.22222222222222,51.22222222222222,his,10,10,3,11.48479344439147,0.8668270539337606,10.52521498001296,1.0285314627774464e-05
mother's ,9,289.0,656.2222222222222,mothers,11,11,7,7.736717226364888,0.8668270539337606,7.258295371326099,0.00043650216343892306
place ,6,166.66666666666666,330.44444444444446,place,12,12,5,4.9726856987006975,0.8668270539337606,10.322916733756964,0.006924525849073826
in ,3,129.77777777777777,167.77777777777777,in,13,13,2,2.248215234160405,0.8668270539337606,5.525466223396837,0.10558750546606621
We ,3,140.44444444444446,187.55555555555554,we,0,0,2,-0.9444216098244285,-1.499338772502435,562.2480449059623,2.5713257188719267
had ,4,113.66666666666667,170.77777777777777,had,1,1,3,3.744700107970235,-1.499338772502435,5.10271010009552,0.023642718247392443
a ,2,190.0,213.77777777777777,a,2,2,1,2.312351080723955,-1.499338772502435,5.623510590329287,0.09902815446688082
good ,5,207.33333333333334,420.44444444444446,good,3,3,4,4.91880318775058,-1.499338772502435,7.842737769283253,0.007307871765572126
yarn ,5,166.66666666666666,184.33333333333334,yarn,4,4,4,13.194838711406941,-1.499338772502435,6.540454123500986,1.8601773758849794e-06
about ,6,276.22222222222223,522.4444444444445,about,5,5,5,11.36803510901917,-1.499338772502435,11.17855250201302,1.155912824357395e-05
old ,4,145.88888888888889,227.44444444444446,old,6,6,3,14.297105850679008,-1.499338772502435,5.636323558734692,6.177970381397885e-07
"times, ",7,179.66666666666666,270.44444444444446,times,7,7,5,12.38725188345963,-1.499338772502435,7.75522035163464,4.17142904816332e-06
and ,4,151.77777777777777,182.44444444444446,and,8,8,3,3.373514883005269,-1.499338772502435,6.216017059357127,0.03426897397465595
it ,3,233.0,233.0,it,9,9,2,4.770883462722724,-1.499338772502435,7.898216133854422,0.008472891368728454
ended ,6,229.0,280.6666666666667,ended,10,10,5,8.165021290749088,-1.499338772502435,4.973374341283761,0.0002844305943504438
in ,3,86.55555555555556,130.44444444444446,in,11,11,2,3.3235850424175126,-1.499338772502435,8.116265087659075,0.0360234543689705
his ,4,213.44444444444446,246.22222222222223,his,12,12,3,4.359243098425469,-1.499338772502435,5.691515004729287,0.012788063292560454
inviting ,9,210.0,362.44444444444446,inviting,13,13,8,14.714398274882578,-1.499338772502435,7.258295371326099,4.0702213188656737e-07
me ,3,117.66666666666667,146.22222222222223,me,14,14,2,5.5471854241467335,-1.499338772502435,10.937446545021418,0.003898414199122351
down ,5,188.44444444444446,231.11111111111111,down,15,15,4,5.476202773454894,-1.499338772502435,5.5844913701093155,0.004185191684026275
to ,3,152.11111111111111,189.22222222222223,to,16,16,2,2.644911914849523,-1.499338772502435,5.398513758168062,0.07101160853237895
Styles ,7,175.55555555555554,276.55555555555554,styles,17,17,6,10.961138518736039,-1.499338772502435,6.567673216488289,1.7363530167613403e-05
to ,3,63.888888888888886,79.44444444444444,to,16,18,2,11.48479344439147,-1.499338772502435,10.52521498001296,1.0285314627774464e-05
spend ,6,172.55555555555554,525.4444444444445,spend,19,19,5,6.6331644243251,-1.499338772502435,6.567673216488289,0.0013159921326516633
